interval_start_timestamp,interval_end_timestamp,msisdn,bytes_uplink,bytes_downlink,service_id,cell_id
1488355200000,1488355500000,31619690654,100,200,1,1001
1488355200000,1488355500000,31619690676,200,300,5,1002
1488355200000,1488355500000,31619690654,300,500,2,5005
1488355200000,1488355500000,31619690686,550,700,1,1001
1488355200000,1488355500000,31619690676,550,700,3,5003
1488355200000,1488355500000,31619690690,1000,1400,3,5005
1488355200000,1488355500000,31619690654,2000,3000,4,5005
1488355200000,1488355500000,31619690696,530,900,2,1002
1488355200000,1488355500000,31619690676,580,700,2,1001
1488355200000,1488355500000,31619690690,570,800,2,1000
